"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
CN,CHINA,21250,2235309,37300,4050883
HK,HONG KONG,0,0,3150,187943
IN,INDIA,3000,310166,11000,1133640
ID,INDONESIA,10225,1400461,101425,14097683
JP,JAPAN,750,59510,2172,193568
KR,"KOREA,REPUBLIC OF",24000,2270862,192000,18040619
LA,LAO PDR,13500,633500,81000,3780000
PK,PAKISTAN,1500,126019,5500,469419
PH,PHILIPPINES,0,0,90000,5023600
ZA,SOUTH AFRICA,39200,2843772,39200,2843772
TW,"TAIWAN, PROVINCE OF CHINA",1000,131724,7500,905206
US,UNITED STATES,0,0,30500,1748181
VN,VIETNAM,76000,4008009,198000,10411379
SUM,SUM,190425,14019332,798747,62885893
