"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
BD,BANGLADESH,170000,6228263,170000,6228263
KH,CAMBODIA,106550,4281082,106550,4281082
CN,CHINA,1100764,26037691,1100764,26037691
EG,EGYPT,17000,484428,17000,484428
HK,HONG KONG,24000,846312,24000,846312
IN,INDIA,1758743,66002431,1758743,66002431
ID,INDONESIA,5116436,198938455,5116436,198938455
JP,JAPAN,502787,19407575,502787,19407575
KR,"KOREA,REPUBLIC OF",2075,45454,2075,45454
LA,LAO PDR,48000,2016097,48000,2016097
MY,MALAYSIA,532355,22192466,532355,22192466
MM,MYANMAR,52250,2225453,52250,2225453
PK,PAKISTAN,42925,1908026,42925,1908026
PH,PHILIPPINES,180964,8255125,180964,8255125
QA,QATAR,79000,2733223,79000,2733223
SG,SINGAPORE,58000,2241703,58000,2241703
SI,SLOVENIA,46200,1395526,46200,1395526
ZA,SOUTH AFRICA,10000,610600,10000,610600
LK,SRI LANKA,8775,2393758,8775,2393758
TW,"TAIWAN, PROVINCE OF CHINA",2000,157376,2000,157376
US,UNITED STATES,56259,6681469,56259,6681469
VN,VIETNAM,137170,6277968,137170,6277968
SUM,SUM,10052253,381360481,10052253,381360481
