"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'FOB (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'FOB (Baht)')"
AR,ARGENTINA,24000,1821693,188250,13787450
AU,AUSTRALIA,59920,3709418,284745,23046243
BD,BANGLADESH,0,0,26300,1832827
KH,CAMBODIA,0,0,26040,1574124
CN,CHINA,5881531,129811870,49197038,887147292
FJ,FIJI,0,0,15300,988122
DE,GERMANY,4043,197731,407568,44554592
HK,HONG KONG,0,0,202,32869
IN,INDIA,271160,9193483,3462058,130855008
ID,INDONESIA,106275,5108402,1170579,56790416
IT,ITALY,0,0,10,328
JP,JAPAN,8155,949182,243717,17257843
KE,KENYA,75000,2344896,100000,3190593
KR,"KOREA,REPUBLIC OF",17094,94123,1565430,8709604
LA,LAO PDR,7000,430500,71222,5601907
MY,MALAYSIA,160295,11408397,1418976,54267051
MV,MALDIVES,0,0,4,200
MU,MAURITIUS,0,0,2000,343119
MM,MYANMAR,0,0,32000,2106038
NP,NEPAL,0,0,10000,1495462
NZ,NEW ZEALAND,0,0,4325,483995
PK,PAKISTAN,0,0,26000,891856
PH,PHILIPPINES,0,0,37175,4215601
SG,SINGAPORE,17837,2400543,86931,11085202
SI,SLOVENIA,344870,14808906,1154820,43837884
ZA,SOUTH AFRICA,0,0,112000,3314015
ES,SPAIN,0,0,27500,144725
TW,"TAIWAN, PROVINCE OF CHINA",76300,2359237,637975,30203471
TZ,TANZANIA UNITED REPUBLIC OF,0,0,84000,3036239
TR,TÜRKIYE,0,0,20002,3023190
AE,UNITED ARAB EMIRATES,0,0,69975,5741944
GB,UNITED KINGDOM,3325,686662,3325,686662
US,UNITED STATES,0,52,161706,5389623
VN,VIETNAM,31060,2743566,402940,37689750
SUM,SUM,7087865,188068661,61050113,1403325245
