"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
AU,AUSTRALIA,650585,25465010,4337575,173144779
AZ,AZERBAIJAN,0,0,24000,941184
BD,BANGLADESH,515000,21515669,2503400,102476149
BR,BRAZIL,0,0,377000,14927703
KH,CAMBODIA,21000,1327278,270175,14413966
CN,CHINA,4591075,183699648,31703500,1317303502
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",24000,1028596,24000,1028596
CI,COTE D IVOIRE,0,0,34000,1553989
EG,EGYPT,0,0,17000,673934
ET,ETHIOPIA,0,0,51000,2308705
HK,HONG KONG,2010,91488,35306,1887804
IN,INDIA,1288000,49879166,9304025,347704480
ID,INDONESIA,1485700,65507186,14113525,619402131
IL,ISRAEL,185000,8046883,658000,28657437
IT,ITALY,0,0,25,1611
JP,JAPAN,245815,11327543,1418915,71568198
KE,KENYA,16500,669919,118500,4849589
KR,"KOREA,REPUBLIC OF",0,0,24225,1125274
LA,LAO PDR,0,0,131000,5495431
MY,MALAYSIA,200500,9377488,1953800,85575332
MM,MYANMAR,6600,112200,236875,9813540
NL,NETHERLANDS,0,0,5700,220619
NZ,NEW ZEALAND,30000,1268701,648480,28986384
NG,NIGERIA,0,0,190750,6929496
OM,OMAN,85000,3308025,289000,11138384
PK,PAKISTAN,2850,236933,320900,20361252
PH,PHILIPPINES,857050,33718995,5253325,210230068
SG,SINGAPORE,34003,1311153,163003,6561170
ZA,SOUTH AFRICA,750,65335,6475,603578
LK,SRI LANKA,34000,1422825,204000,8439839
TW,"TAIWAN, PROVINCE OF CHINA",24000,933697,393800,15653117
TZ,TANZANIA UNITED REPUBLIC OF,0,0,123500,5199585
TR,TÜRKIYE,43000,1697127,354300,13566657
AE,UNITED ARAB EMIRATES,0,0,102000,4028942
US,UNITED STATES,1900,104135,2025,119796
VN,VIETNAM,1028300,41113212,5989475,233627880
ZM,ZAMBIA,34000,1406834,68000,2818595
SUM,SUM,11406638,464635046,81450579,3373338696
