"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'FOB (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'FOB (Baht)')"
AU,AUSTRALIA,1164550,52484006,8924380,415793445
BD,BANGLADESH,19800,1052255,1935250,77719167
BE,BELGIUM,99000,5634510,2043450,108469034
BT,BHUTAN,0,0,148500,5471114
CN,CHINA,24426140,1213487098,237593595,11330341540
CO,COLOMBIA,0,0,74250,3105412
DJ,DJIBOUTI,0,0,290500,12399365
FJ,FIJI,17500,739647,34000,1444282
DE,GERMANY,0,0,122540,6777993
GH,GHANA,0,0,49500,2112403
HK,HONG KONG,26500,1346213,395080,23017818
IN,INDIA,1000100,51368060,30389625,1298899733
ID,INDONESIA,6030460,257426323,49097660,2101300699
IR,IRAN (ISLAMIC REPUBLIC OF),48000,3610028,204000,15044795
IT,ITALY,0,0,22000,1175902
JP,JAPAN,7773950,359889406,63801825,3033643375
KZ,KAZAKHSTAN,0,0,31000,1285547
KR,"KOREA,REPUBLIC OF",727600,44513326,8234520,462843884
MY,MALAYSIA,891430,40235720,11135732,503374046
MZ,MOZAMBIQUE,33000,1378483,33000,1378483
MM,MYANMAR,66000,2178256,536250,18561601
NP,NEPAL,0,0,391050,15053566
NZ,NEW ZEALAND,517360,23614507,4742605,221827444
NG,NIGERIA,0,0,313500,12842303
PK,PAKISTAN,45000,2495060,1081975,47117594
PG,PAPUA NEW GUINEA,0,0,16000,705492
PH,PHILIPPINES,1074400,45619881,8134525,333531330
RE,REUNION,4000,181634,7500,331847
RU,RUSSIAN FEDERATION,0,0,441500,18816727
SG,SINGAPORE,325600,22122686,1551125,96135410
SI,SLOVENIA,16500,686677,16500,686677
ZA,SOUTH AFRICA,29000,1176180,190000,7957428
ES,SPAIN,0,0,150,35099
LK,SRI LANKA,115500,4878824,1097250,46295672
CH,SWITZERLAND,100,18433,100,18433
TW,"TAIWAN, PROVINCE OF CHINA",770375,38122307,6699734,320128487
UA,UKRAINE,0,0,32500,1389584
US,UNITED STATES,18750,1035629,463750,37945829
VN,VIETNAM,605250,38125742,6291200,359488143
SUM,SUM,45845865,2213420891,446567621,20944466703
