"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'FOB (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'FOB (Baht)')"
CN,CHINA,0,0,1550,762801
IN,INDIA,0,0,536,330858
ID,INDONESIA,0,0,90300,4710642
JP,JAPAN,2,645,817,52893
NO,NORWAY,300,4834,895,10211
ZA,SOUTH AFRICA,0,0,20000,610550
TW,"TAIWAN, PROVINCE OF CHINA",68000,1924074,68000,1924074
SUM,SUM,68302,1929553,182098,8402029
