"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,29400,4289170,206400,29018920
CN,CHINA,563005,37101919,10949971,185726713
IN,INDIA,0,0,34000,1457182
ID,INDONESIA,1000,77272,10034,735347
JP,JAPAN,204001,9106332,1178626,50224410
KR,"KOREA,REPUBLIC OF",4001,296511,37576,2679682
MY,MALAYSIA,0,0,1900,229660
NO,NORWAY,10,6186,10,6186
TW,"TAIWAN, PROVINCE OF CHINA",0,0,80,14261
TR,TÜRKIYE,0,0,34550,2459780
VN,VIETNAM,39600,3657278,190250,15268748
SUM,SUM,841017,54534668,12643397,287820889
