"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'FOB (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'FOB (Baht)')"
AU,AUSTRALIA,30260,2981821,127185,10495380
BD,BANGLADESH,0,0,5000,745148
CN,CHINA,16600,1291244,54945,4728507
EG,EGYPT,0,0,3000,229433
ET,ETHIOPIA,0,0,32000,884457
HK,HONG KONG,0,0,2060,124562
IN,INDIA,18675,2243406,154540,13550968
ID,INDONESIA,200,21263,2180,242546
JP,JAPAN,400,37655,22309,1962250
KR,"KOREA,REPUBLIC OF",300,33408,21880,1421506
MY,MALAYSIA,0,0,22605,1581416
MM,MYANMAR,0,0,600,79152
NZ,NEW ZEALAND,12000,1283602,24750,2941393
PH,PHILIPPINES,0,0,210650,10719037
SG,SINGAPORE,40,12025,40,12025
LK,SRI LANKA,2200,133738,4400,312732
TW,"TAIWAN, PROVINCE OF CHINA",0,0,30925,1111051
AE,UNITED ARAB EMIRATES,25000,2394297,50000,4462977
US,UNITED STATES,0,0,0,31
VN,VIETNAM,500,14257,8620,653812
SUM,SUM,106175,10446716,777689,56258383
