"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'FOB (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'FOB (Baht)')"
AO,ANGOLA,16250,528159,16250,528159
AU,AUSTRALIA,45303,2098643,45303,2098643
BD,BANGLADESH,1421340,69713558,1421340,69713558
BE,BELGIUM,10,372,10,372
BR,BRAZIL,100,5649,100,5649
KH,CAMBODIA,45000,2068591,45000,2068591
CN,CHINA,11246725,517316989,11246725,517316989
EG,EGYPT,30000,2306737,30000,2306737
DE,GERMANY,21675,1547162,21675,1547162
GH,GHANA,16250,476330,16250,476330
HK,HONG KONG,2746233,127523371,2746233,127523371
IN,INDIA,676287,54204326,676287,54204326
ID,INDONESIA,15607350,724477703,15607350,724477703
IL,ISRAEL,129000,6144735,129000,6144735
JP,JAPAN,2012365,90863856,2012365,90863856
KE,KENYA,52000,2440546,52000,2440546
KR,"KOREA,REPUBLIC OF",1575,69332,1575,69332
LA,LAO PDR,242000,7499184,242000,7499184
MG,MADAGASCAR,128000,1555240,128000,1555240
MY,MALAYSIA,2180665,100526388,2180665,100526388
MU,MAURITIUS,35500,1669988,35500,1669988
MM,MYANMAR,695275,31126722,695275,31126722
NZ,NEW ZEALAND,12000,578397,12000,578397
NG,NIGERIA,140250,6324425,140250,6324425
OM,OMAN,33000,1533590,33000,1533590
PK,PAKISTAN,121600,6319191,121600,6319191
PE,PERU,34000,1619510,34000,1619510
PH,PHILIPPINES,1815400,86713515,1815400,86713515
SN,SENEGAL,32500,1056318,32500,1056318
SG,SINGAPORE,201000,9132980,201000,9132980
ZA,SOUTH AFRICA,56800,4171210,56800,4171210
LK,SRI LANKA,100500,3523106,100500,3523106
TW,"TAIWAN, PROVINCE OF CHINA",287711,12738473,287711,12738473
TR,TÜRKIYE,131650,6398873,131650,6398873
AE,UNITED ARAB EMIRATES,195000,9535003,195000,9535003
VN,VIETNAM,1862680,89241490,1862680,89241490
SUM,SUM,42372994,1983049662,42372994,1983049662
