"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'FOB (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,1000,38127
CN,CHINA,1052926,24467015,8706107,203525963
CI,COTE D IVOIRE,0,0,11500,871076
IN,INDIA,0,0,500,79948
JP,JAPAN,147800,7486868,156664,8283288
KR,"KOREA,REPUBLIC OF",50,4313,499,53332
LA,LAO PDR,7000,324456,32050,1474689
SG,SINGAPORE,0,0,300,14772
LK,SRI LANKA,0,0,25,1128
VN,VIETNAM,0,0,3200,286360
SUM,SUM,1207776,32282652,8911845,214628683
