"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'FOB (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'FOB (Baht)')"
AU,AUSTRALIA,5000,926052,46640,5952034
BD,BANGLADESH,17000,475356,51000,1483745
CN,CHINA,173915,17719851,356325,34416385
ET,ETHIOPIA,51000,1382414,84000,2246000
GA,GABON,17000,470505,34000,959065
DE,GERMANY,0,0,0,1270
IN,INDIA,28600,3016637,161700,18399648
ID,INDONESIA,110505,9042236,218465,20457075
KR,"KOREA,REPUBLIC OF",122625,9559362,211950,15035772
MY,MALAYSIA,32300,2928979,99540,9543076
NZ,NEW ZEALAND,0,0,35000,3594506
PK,PAKISTAN,0,0,200,30695
PH,PHILIPPINES,12380,1278374,15980,1585635
SG,SINGAPORE,20600,2548629,20600,2548629
TW,"TAIWAN, PROVINCE OF CHINA",4000,470791,4000,470791
AE,UNITED ARAB EMIRATES,50000,4977544,140000,13977389
US,UNITED STATES,18000,1325347,18000,1325347
VN,VIETNAM,60500,7117352,114825,13784224
SUM,SUM,723425,63239429,1612225,145811286
