"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
AU,AUSTRALIA,16000,867724,340510,17892087
BD,BANGLADESH,153000,8094958,6263000,292567455
KH,CAMBODIA,0,0,10780,837084
CL,CHILE,0,0,34000,1908993
CN,CHINA,3821000,200587934,68092200,3386224005
HK,HONG KONG,0,0,29020,1127560
IN,INDIA,1540000,79136449,17490025,822268336
ID,INDONESIA,340000,18458319,2563450,134050669
JP,JAPAN,0,0,70250,4059122
KE,KENYA,0,0,204000,9421590
KR,"KOREA,REPUBLIC OF",0,0,200,7776
LA,LAO PDR,16,42456,205,425739
MY,MALAYSIA,0,0,120400,6075495
MU,MAURITIUS,0,0,6000,350935
PK,PAKISTAN,17000,904428,849000,37702327
PH,PHILIPPINES,0,0,41000,2285408
SC,SEYCHELLES,0,0,50,4250
SG,SINGAPORE,0,0,4974,462272
LK,SRI LANKA,85000,4536397,754776,39485613
TW,"TAIWAN, PROVINCE OF CHINA",17000,905141,82000,4035188
US,UNITED STATES,0,0,263000,14507513
VN,VIETNAM,197000,10545254,1773000,92049279
SUM,SUM,6186016,324079060,98991840,4867748696
