"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'FOB (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'FOB (Baht)')"
AT,AUSTRIA,0,0,7,348
CN,CHINA,4500,277443,349000,9794752
FR,FRANCE,0,0,5,326
DE,GERMANY,0,0,169,3745
HK,HONG KONG,132,4051,1118,65426
IN,INDIA,67500,2211634,475550,14307627
ID,INDONESIA,3000,235246,12400,991184
MY,MALAYSIA,0,0,0,95
MM,MYANMAR,0,0,500,7200
PH,PHILIPPINES,0,0,18350,572339
SG,SINGAPORE,0,0,5,848
VU,VANUATU,0,0,101,31500
SUM,SUM,75132,2728374,857205,25775390
