"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
CN,CHINA,100,4676,16050,1815574
ID,INDONESIA,39000,5387581,78000,10953698
JP,JAPAN,0,0,922,89705
KR,"KOREA,REPUBLIC OF",24000,2139584,120000,11377854
LA,LAO PDR,10500,495250,39500,1833375
PK,PAKISTAN,1000,82292,3500,301467
PH,PHILIPPINES,20000,1076674,66000,3660211
TW,"TAIWAN, PROVINCE OF CHINA",500,116255,6500,773482
US,UNITED STATES,13000,762233,18500,1089567
VN,VIETNAM,10000,501855,122000,6403370
SUM,SUM,118100,10566400,470972,38298303
