"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'FOB (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'FOB (Baht)')"
AU,AUSTRALIA,21616,3406004,228016,32424924
CA,CANADA,2,2708,2,2708
CN,CHINA,613475,40234983,11563446,225961696
HK,HONG KONG,1,90,1,90
IN,INDIA,0,0,34000,1457182
ID,INDONESIA,2000,155832,12034,891179
JP,JAPAN,136032,6174305,1314658,56398715
KR,"KOREA,REPUBLIC OF",4041,305253,41617,2984935
MY,MALAYSIA,61,3678,1961,233338
NO,NORWAY,0,0,10,6186
SG,SINGAPORE,9,17787,9,17787
TW,"TAIWAN, PROVINCE OF CHINA",4,10848,84,25109
TR,TÜRKIYE,0,0,34550,2459780
US,UNITED STATES,469,138609,469,138609
VN,VIETNAM,0,331,190250,15269079
SUM,SUM,777710,50450428,13421107,338271317
