"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
CN,CHINA,0,0,26714,123956
HK,HONG KONG,0,14353,1,14823
ID,INDONESIA,0,0,5,2919
JP,JAPAN,0,0,1,31
LA,LAO PDR,7000,266239,33800,1310800
NZ,NEW ZEALAND,15,5748,33,14386
SG,SINGAPORE,0,0,2200,122012
ES,SPAIN,0,0,130,12740
AE,UNITED ARAB EMIRATES,2,123,2,123
VN,VIETNAM,250,10260,253,19327
SUM,SUM,7267,296723,63139,1621117
