"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
CN,CHINA,1450,28596,8550,6065521
HK,HONG KONG,6350,549486,9350,717545
IN,INDIA,0,0,11000,1093523
ID,INDONESIA,18500,2259367,45200,5328673
KR,"KOREA,REPUBLIC OF",28000,2925047,78000,8522873
LA,LAO PDR,0,0,11000,444000
PK,PAKISTAN,750,38990,11800,635654
PH,PHILIPPINES,14600,1022284,96275,5482678
SG,SINGAPORE,1000,113889,6000,732501
US,UNITED STATES,0,0,9800,521331
VN,VIETNAM,56000,3280097,194000,10215135
SUM,SUM,126650,10217756,480975,39759434
