"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'FOB (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'FOB (Baht)')"
AU,AUSTRALIA,16000,865954,16000,865954
BD,BANGLADESH,510000,22630577,510000,22630577
KH,CAMBODIA,880,69237,880,69237
CN,CHINA,6864400,326398967,6864400,326398967
IN,INDIA,3293000,133873991,3293000,133873991
ID,INDONESIA,143000,7215964,143000,7215964
LA,LAO PDR,54,97065,54,97065
MY,MALAYSIA,17000,815016,17000,815016
PK,PAKISTAN,221000,9699539,221000,9699539
LK,SRI LANKA,68000,3702838,68000,3702838
VN,VIETNAM,217000,10827143,217000,10827143
SUM,SUM,11350334,516196291,11350334,516196291
