"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2022', 'Quantity')","('Mar 2022', 'FOB (Baht)')","('Jan - Mar 2022', 'Quantity')","('Jan - Mar 2022', 'FOB (Baht)')"
AU,AUSTRALIA,812770,42724607,2092130,106880815
BD,BANGLADESH,100000,4177053,421500,19834400
BE,BELGIUM,99000,6212430,220500,13957936
CN,CHINA,54143050,3392562349,143754125,8563481662
FJ,FIJI,0,0,37000,1694102
HK,HONG KONG,22500,1988859,42300,3888092
IN,INDIA,3940600,230852056,8376460,497765831
ID,INDONESIA,7688060,369035668,22207455,1075161082
JP,JAPAN,7731750,393739839,19694000,1048016215
KZ,KAZAKHSTAN,31000,1436539,31000,1436539
KR,"KOREA,REPUBLIC OF",440900,33472757,1757700,132299814
MY,MALAYSIA,1608300,80201755,5464400,266366601
MM,MYANMAR,236650,10645122,718450,31648044
NZ,NEW ZEALAND,294810,15146383,972910,50054656
PK,PAKISTAN,223500,12198295,332500,18637350
PH,PHILIPPINES,1401000,63760930,3256400,148540251
RU,RUSSIAN FEDERATION,16000,726099,53500,2423460
SG,SINGAPORE,283800,18383320,479100,32346921
ZA,SOUTH AFRICA,16500,684841,16500,684841
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,26000,1219592,63500,3032584
TW,"TAIWAN, PROVINCE OF CHINA",735800,38325654,1994000,105843314
TR,TÜRKIYE,16500,720091,1017500,44748772
AE,UNITED ARAB EMIRATES,1000,48897,1000,48897
US,UNITED STATES,0,0,1500,155065
VN,VIETNAM,1647250,106588882,6273290,368229377
SUM,SUM,81516740,4824852018,219278770,12537178822
