"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2016', 'Quantity')","('Jul 2016', 'FOB (Baht)')","('Jan - Jul 2016', 'Quantity')","('Jan - Jul 2016', 'FOB (Baht)')"
CM,CAMEROON,0,0,16250,403407
CN,CHINA,0,0,5125,278597
GA,GABON,48000,1426555,48000,1426555
GH,GHANA,65000,1624977,227500,5552520
HK,HONG KONG,0,0,26325,4315502
IN,INDIA,6725,915086,7225,977303
ID,INDONESIA,46250,2746368,192650,11049302
JP,JAPAN,0,0,15300,1029188
KE,KENYA,0,0,16250,432553
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,15,2600,61,15000
MY,MALAYSIA,0,0,1475,89778
MX,MEXICO,0,0,15000,714101
PK,PAKISTAN,0,0,220,62104
ZA,SOUTH AFRICA,14000,1919836,21700,3051616
LK,SRI LANKA,32000,805584,112000,2801816
TW,"TAIWAN, PROVINCE OF CHINA",0,0,600,75621
VN,VIETNAM,120000,5596289,691500,32672413
SUM,SUM,331990,15037295,1398951,65202689
