"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'FOB (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,0,0,76000,5920591
IN,INDIA,0,0,1390595,103492402
ID,INDONESIA,10000,1237350,129000,14347566
JP,JAPAN,0,0,5687,506719
MY,MALAYSIA,0,0,34500,3703302
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,13200,733161,341895,22019992
VN,VIETNAM,0,0,200,5757
SUM,SUM,23200,1970511,2093906,153751940
