"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'FOB (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,100,4296
KH,CAMBODIA,120000,5499398,675000,30013461
CN,CHINA,21375,1329782,41375,2801063
KR,"KOREA,REPUBLIC OF",0,0,300,25115
SUM,SUM,141375,6829180,716775,32843935
