"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AO,ANGOLA,17600,897043,179600,9689434
AU,AUSTRALIA,1190525,63310166,4934450,246452207
BD,BANGLADESH,1000600,50035649,2586200,123386849
BE,BELGIUM,198000,12601106,198000,12601106
BR,BRAZIL,519000,26739137,559500,29055507
KH,CAMBODIA,120125,6114984,2744675,134808148
CM,CAMEROON,0,0,25500,1300533
CA,CANADA,144000,7716790,810000,39295513
CL,CHILE,0,0,560000,27574303
CN,CHINA,3174425,139559691,40750470,1689540767
CO,COLOMBIA,102000,5536117,204000,10949238
CG,CONGO,0,0,25000,1141169
CI,COTE D IVOIRE,0,0,27000,1359367
CY,CYPRUS,0,0,23875,1100495
DO,DOMINICAN REPUBLIC,102000,5349033,102000,5349033
EC,ECUADOR,51000,2794450,153000,7844962
FJ,FIJI,28400,1778746,88150,5012941
FR,FRANCE,95975,5571151,695925,36725734
PF,FRENCH POLYNESIA,81000,5185219,203250,10930119
GA,GABON,13500,755102,27000,1473351
GM,GAMBIA,0,0,204000,10583578
DE,GERMANY,168600,11408409,1875245,101271776
GH,GHANA,204000,10190312,357000,18777608
GR,GREECE,0,0,263875,14136693
GN,GUINEA,0,0,54000,3034623
IN,INDIA,405600,22798598,2067300,107491185
ID,INDONESIA,294500,14839675,1836600,86746570
IL,ISRAEL,89000,5547263,1119775,64207839
IT,ITALY,120000,5798454,120000,5798454
JP,JAPAN,187076,11621908,1265053,65403654
KZ,KAZAKHSTAN,0,0,140000,6034701
KE,KENYA,140000,7230904,945000,44678665
KR,"KOREA,REPUBLIC OF",3000,327020,496500,26126213
KW,KUWAIT,0,0,24750,1092648
LA,LAO PDR,60045,2893227,232470,9544359
LV,LATVIA,191200,10692019,339900,16735828
LT,LITHUANIA,0,0,24000,1527390
MG,MADAGASCAR,62000,3639486,178950,9918515
MY,MALAYSIA,1442550,73294617,8541225,395957994
MU,MAURITIUS,151450,9814908,624125,38107760
MX,MEXICO,3000,535687,366000,16298792
MZ,MOZAMBIQUE,0,0,84200,4040644
MM,MYANMAR,371900,18953712,2665625,120935039
NL,NETHERLANDS,182000,11521909,585000,36182743
NC,NEW CALEDONIA,13500,818401,54500,2767993
NZ,NEW ZEALAND,251425,13203342,3868725,183791205
NG,NIGERIA,102000,2562215,935000,22927875
PK,PAKISTAN,100,28940,426925,17302810
PG,PAPUA NEW GUINEA,28400,1826306,71000,4444741
PE,PERU,0,0,51000,2360942
PH,PHILIPPINES,459500,23668475,1895200,88863898
PL,POLAND,247500,13478311,600000,30497240
QA,QATAR,24750,1214414,669650,29055839
RE,REUNION,23950,1453610,204450,11777583
RO,ROMANIA,24000,1200837,39000,2039575
SN,SENEGAL,27700,1782732,160400,8687902
SC,SEYCHELLES,0,0,9875,588730
SG,SINGAPORE,37000,1113920,55000,2992024
SB,SOLOMON ISLANDS,14200,913153,28400,1731663
SO,SOMALIA,0,0,260600,11616305
ZA,SOUTH AFRICA,140000,6845969,799100,38202123
LK,SRI LANKA,0,0,413200,18224401
SE,SWEDEN,0,0,120000,7736412
TW,"TAIWAN, PROVINCE OF CHINA",57500,2631963,413950,20482727
TZ,TANZANIA UNITED REPUBLIC OF,35000,1818670,61000,3334841
TO,TONGA,28150,1730382,70700,4091943
TT,TRINIDAD AND TOBAGO,0,0,918000,46889722
TR,TÜRKIYE,129500,6121574,183400,9155295
UA,UKRAINE,0,0,359800,16238783
AE,UNITED ARAB EMIRATES,87500,3780522,447300,19189182
GB,UNITED KINGDOM,272250,14496248,1090500,51749055
US,UNITED STATES,39000,2404752,92875,5511560
VN,VIETNAM,1130350,57032091,4970150,236120234
SUM,SUM,14087346,715179319,98577888,4498596650
