"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'FOB (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'FOB (Baht)')"
PH,PHILIPPINES,0,0,1200,122482
VN,VIETNAM,0,0,31475,1933173
SUM,SUM,0,0,32675,2055655
