"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'FOB (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'FOB (Baht)')"
AU,AUSTRALIA,54750,1891157,54750,1891157
BD,BANGLADESH,748000,31130920,748000,31130920
BR,BRAZIL,167500,8818012,167500,8818012
KH,CAMBODIA,242400,10448043,242400,10448043
CN,CHINA,2126949,34884792,2126949,34884792
GH,GHANA,68000,3434502,68000,3434502
HK,HONG KONG,48000,2019918,48000,2019918
IN,INDIA,795065,37010972,795065,37010972
ID,INDONESIA,5284020,228911883,5284020,228911883
JP,JAPAN,510276,22450249,510276,22450249
KR,"KOREA,REPUBLIC OF",106997,1752050,106997,1752050
LA,LAO PDR,30000,1379538,30000,1379538
MY,MALAYSIA,126747,7016653,126747,7016653
MX,MEXICO,24000,1127508,24000,1127508
MM,MYANMAR,1590090,68013061,1590090,68013061
NZ,NEW ZEALAND,15000,769664,15000,769664
PK,PAKISTAN,36550,1468440,36550,1468440
PH,PHILIPPINES,638500,26839373,638500,26839373
PT,PORTUGAL,51000,2083886,51000,2083886
QA,QATAR,102000,4689954,102000,4689954
SG,SINGAPORE,34000,1516508,34000,1516508
SI,SLOVENIA,69380,3141175,69380,3141175
ZA,SOUTH AFRICA,64000,3357438,64000,3357438
LK,SRI LANKA,52525,2753060,52525,2753060
TW,"TAIWAN, PROVINCE OF CHINA",6360,791634,6360,791634
TR,TÜRKIYE,13800,1049179,13800,1049179
VN,VIETNAM,2099975,84999692,2099975,84999692
SUM,SUM,15105884,593749261,15105884,593749261
