"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2017', 'Quantity')","('Sept 2017', 'FOB (Baht)')","('Jan - Sept 2017', 'Quantity')","('Jan - Sept 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,650,22782
BD,BANGLADESH,0,0,31500,1597906
BN,BRUNEI DARUSSALAM,5000,200135,30000,1255255
CN,CHINA,7200,1902792,10500,2814412
FR,FRANCE,0,0,48,14467
IN,INDIA,1000,57779,5200,319311
ID,INDONESIA,503000,22436634,3992800,182876947
JP,JAPAN,0,0,3125,201121
KR,"KOREA,REPUBLIC OF",0,0,31650,1227848
LA,LAO PDR,95000,3761790,225000,8894576
MY,MALAYSIA,0,0,8031,529025
NO,NORWAY,400,19999,400,19999
PK,PAKISTAN,5450,494692,32125,2995842
TW,"TAIWAN, PROVINCE OF CHINA",0,0,600,76878
TR,TÜRKIYE,1800,138472,3600,277023
AE,UNITED ARAB EMIRATES,0,0,100,3941
US,UNITED STATES,3800,286685,4100,333713
VN,VIETNAM,0,0,12150,1148410
SUM,SUM,622650,29298978,4391579,204609456
