"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
BE,BELGIUM,0,0,55,15200
ID,INDONESIA,0,0,5001,437414
JP,JAPAN,50,5112,2575,121110
MY,MALAYSIA,0,0,98002,6302582
MM,MYANMAR,0,0,3,16897
PK,PAKISTAN,100,7747,100,7747
PH,PHILIPPINES,0,0,11,58541
ZA,SOUTH AFRICA,0,0,74250,5141848
CH,SWITZERLAND,50,1641,50,1641
VN,VIETNAM,0,0,3425,1388079
SUM,SUM,200,14500,183472,13491059
