"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'FOB (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'FOB (Baht)')"
AO,ANGOLA,0,0,212000,4846183
AU,AUSTRALIA,5000,519911,230000,7488745
BD,BANGLADESH,9075,1263648,132825,11060180
BE,BELGIUM,144000,13581887,1666460,162241794
BR,BRAZIL,0,0,300,64620
KH,CAMBODIA,28079,4572263,282896,43033764
CN,CHINA,452541,29581785,3276026,123036059
EG,EGYPT,72000,4018037,121350,7337649
GH,GHANA,0,0,97500,2065645
GN,GUINEA,54000,1169800,54000,1169800
HK,HONG KONG,26071,675765,27628,766406
IN,INDIA,342950,24132979,5134135,351336304
ID,INDONESIA,235000,15279873,1663705,124063766
JP,JAPAN,63664,4097422,381859,29283529
KR,"KOREA,REPUBLIC OF",0,0,111000,5713431
LA,LAO PDR,19,6646,569,173501
MG,MADAGASCAR,0,0,990000,20852600
MY,MALAYSIA,26700,2548638,371921,37425570
MU,MAURITIUS,0,0,32750,826065
MX,MEXICO,0,0,16000,857680
MM,MYANMAR,0,0,27818,774581
NL,NETHERLANDS,0,0,100,6808
PK,PAKISTAN,21375,1341206,135820,9285778
PH,PHILIPPINES,41075,2933578,244553,18333339
SA,SAUDI ARABIA,48350,3792945,684450,43477946
SG,SINGAPORE,2000,469777,16050,3747958
ZA,SOUTH AFRICA,1500,125436,137000,7300829
LK,SRI LANKA,16200,350940,64462,1297175
TW,"TAIWAN, PROVINCE OF CHINA",30000,2674598,346412,33540808
TG,TOGO,0,0,16250,362079
TR,TÜRKIYE,0,0,12000,656411
AE,UNITED ARAB EMIRATES,0,0,327475,11011428
US,UNITED STATES,20000,896778,109104,5332926
VN,VIETNAM,10086,942923,215181,15848305
SUM,SUM,1649685,114976835,17139599,1084619662
