"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AO,ANGOLA,0,0,49500,2601630
AU,AUSTRALIA,413010,20559078,4581600,201589677
BD,BANGLADESH,350500,13711973,651075,28579461
BE,BELGIUM,45000,2632334,387000,16148725
BR,BRAZIL,0,0,250000,9941085
KH,CAMBODIA,0,0,24750,1211810
CN,CHINA,54560660,2684658316,229973080,11094774001
CO,COLOMBIA,125000,4957564,550000,22129380
DJ,DJIBOUTI,0,0,49500,1504905
EC,ECUADOR,150000,5486546,375000,15172904
EG,EGYPT,0,0,25,2050
FJ,FIJI,33000,1344746,49500,2188827
GH,GHANA,0,0,145500,5174234
HK,HONG KONG,63720,1183392,189220,7885501
IN,INDIA,1361000,65645079,12881875,601657182
ID,INDONESIA,4010060,175818932,39033065,1650508679
IT,ITALY,0,0,100,2653
JP,JAPAN,5475175,269528474,41311710,1808703568
KZ,KAZAKHSTAN,0,0,34000,1397819
KR,"KOREA,REPUBLIC OF",1299775,88916388,4239450,256704290
MY,MALAYSIA,795450,37367750,7130830,314518501
MU,MAURITIUS,0,0,72500,2684056
MM,MYANMAR,120000,4655342,136000,5203931
NZ,NEW ZEALAND,403850,19275952,2175570,103602285
PK,PAKISTAN,177000,7433273,534650,23172282
PE,PERU,0,0,250000,9144671
PH,PHILIPPINES,679800,28486794,6390075,262295409
PT,PORTUGAL,130000,5287317,1284500,48045697
RE,REUNION,0,0,28250,1290416
RU,RUSSIAN FEDERATION,0,0,90000,3966915
SG,SINGAPORE,584400,35946170,2651250,146892939
ZA,SOUTH AFRICA,0,0,33000,1342034
ES,SPAIN,0,0,132000,5094339
LK,SRI LANKA,11000,462896,14750,682939
CH,SWITZERLAND,0,0,225,15377
TW,"TAIWAN, PROVINCE OF CHINA",1390150,80427161,6336001,309694235
TR,TÜRKIYE,0,0,504500,19244460
UA,UKRAINE,19000,951091,40500,1885481
US,UNITED STATES,56250,4437492,382000,26921659
VN,VIETNAM,1504700,79018646,10126650,510037638
SUM,SUM,73758500,3638192706,373089201,17523613645
