"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2020', 'Quantity')","('May 2020', 'FOB (Baht)')","('Jan - May 2020', 'Quantity')","('Jan - May 2020', 'FOB (Baht)')"
CN,CHINA,1000,32380,1000,32380
KR,"KOREA,REPUBLIC OF",0,0,25,1847
ZA,SOUTH AFRICA,0,0,15000,1070763
SUM,SUM,1000,32380,16025,1104990
