"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'FOB (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'FOB (Baht)')"
AR,ARGENTINA,0,0,177300,11292920
AU,AUSTRALIA,38000,1184131,139204,5204406
BD,BANGLADESH,422000,13499771,2816000,88872463
BR,BRAZIL,717500,23410529,1379800,52785660
KH,CAMBODIA,212500,6768049,2010613,63951218
CM,CAMEROON,0,0,171000,4382386
CA,CANADA,0,0,750,19177
CN,CHINA,4325308,85142771,47099230,790424868
CG,CONGO,207000,6205575,707250,20644805
CI,COTE D IVOIRE,0,0,97000,2962299
DJ,DJIBOUTI,0,0,1025000,17391403
FJ,FIJI,0,0,16000,404720
PF,FRENCH POLYNESIA,30000,946398,120000,3687944
DE,GERMANY,10000,714549,19174,1184975
GH,GHANA,32500,696978,139750,2860859
GT,GUATEMALA,480000,15028419,555750,17021643
GN,GUINEA,0,0,500250,11979032
HK,HONG KONG,216289,7268808,919459,30261198
IN,INDIA,338323,15750396,3642702,142338737
ID,INDONESIA,3798100,112839860,35282980,1061250232
JP,JAPAN,580359,18269747,6741670,209795848
KE,KENYA,0,0,68000,1391830
KR,"KOREA,REPUBLIC OF",14400,325847,26227,661386
LA,LAO PDR,48000,1623110,434135,14960855
MG,MADAGASCAR,0,0,17250,447729
MY,MALAYSIA,613515,19787541,4183483,140622773
MU,MAURITIUS,0,0,91000,2887007
MZ,MOZAMBIQUE,0,0,136000,3557118
MM,MYANMAR,66550,2685172,806200,27133935
NL,NETHERLANDS,50,1637,50,1637
NZ,NEW ZEALAND,0,0,15000,460152
NG,NIGERIA,0,0,345000,10035004
PK,PAKISTAN,38625,1367337,867835,27239670
PH,PHILIPPINES,501386,18832187,6955504,230920356
PL,POLAND,91920,1542732,827280,16458121
QA,QATAR,51000,1694073,108000,3617603
RO,ROMANIA,0,0,48000,3033447
SG,SINGAPORE,59574,1921125,638182,20533542
SI,SLOVENIA,252890,7360857,1037560,29508692
ZA,SOUTH AFRICA,32100,1611546,253275,14755709
LK,SRI LANKA,142300,6092109,557895,25402565
CH,SWITZERLAND,0,0,52,81
TW,"TAIWAN, PROVINCE OF CHINA",550,52003,10506,1001885
TZ,TANZANIA UNITED REPUBLIC OF,52000,1144193,523250,10715107
TG,TOGO,0,0,32500,719129
TR,TÜRKIYE,0,0,50,1682
GB,UNITED KINGDOM,0,0,24940,694824
US,UNITED STATES,93750,12924590,472728,59691380
VN,VIETNAM,444830,17969707,4467949,161489364
ZM,ZAMBIA,0,0,128000,2802564
SUM,SUM,13911319,404661747,126636733,3349461940
