"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'FOB (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'FOB (Baht)')"
CN,CHINA,3550,61153,7675,386049
IN,INDIA,0,0,2050,157516
ID,INDONESIA,39450,3334163,265466,20147943
JP,JAPAN,0,0,1400,203052
MY,MALAYSIA,0,0,168000,11994567
NL,NETHERLANDS,0,0,105,30770
ZA,SOUTH AFRICA,0,0,18775,1571525
LK,SRI LANKA,0,0,0,4770
TW,"TAIWAN, PROVINCE OF CHINA",0,0,500,3225
VN,VIETNAM,150,17617,1400,406672
SUM,SUM,43150,3412933,465371,34906089
