"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'FOB (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'FOB (Baht)')"
AU,AUSTRALIA,30000,668168,41000,1732366
CN,CHINA,143260,3524036,351110,10146520
IN,INDIA,1000,129116,43225,5632874
ID,INDONESIA,100900,4711413,266100,12274698
JP,JAPAN,0,0,15000,676915
KR,"KOREA,REPUBLIC OF",2000,209388,4000,421653
MX,MEXICO,25500,1095656,51000,2318229
PK,PAKISTAN,0,0,2450,224322
TW,"TAIWAN, PROVINCE OF CHINA",0,0,175,26256
TG,TOGO,32500,784169,32500,784169
VN,VIETNAM,4127,260245,24427,1147605
SUM,SUM,339287,11382191,830987,35385607
