"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,2000,168551
BD,BANGLADESH,0,0,80000,2741352
KH,CAMBODIA,0,0,11500,614520
CN,CHINA,125,24550,477875,23759016
ET,ETHIOPIA,0,0,102000,3059787
GH,GHANA,16000,526765,16000,526765
IN,INDIA,2990,182805,2990,182805
JP,JAPAN,19800,2021670,41700,4063772
KR,"KOREA,REPUBLIC OF",0,0,115,15500
LA,LAO PDR,0,0,10000,265611
MY,MALAYSIA,0,0,102000,1796699
MM,MYANMAR,24300,406542,84300,827636
NZ,NEW ZEALAND,3625,216409,5925,385703
SG,SINGAPORE,0,0,5000,275023
LK,SRI LANKA,0,0,9,5040
TZ,TANZANIA UNITED REPUBLIC OF,33000,1056362,33000,1056362
SUM,SUM,99840,4435103,974414,39744142
