"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2012', 'Quantity')","('Oct 2012', 'FOB (Baht)')","('Jan - Oct 2012', 'Quantity')","('Jan - Oct 2012', 'FOB (Baht)')"
AU,AUSTRALIA,110318,15791701,386586,41200170
AT,AUSTRIA,0,0,3100,274898
BD,BANGLADESH,11000,981751,63075,5913737
BY,BELARUS,0,0,1000,170372
BE,BELGIUM,0,0,147,4772
BR,BRAZIL,0,0,121500,12708422
CA,CANADA,18000,1498264,72000,6135192
CN,CHINA,49275,4656353,2368030,232329734
DJ,DJIBOUTI,0,0,64000,1918371
ET,ETHIOPIA,0,0,64000,1846248
GA,GABON,0,0,48600,1391803
DE,GERMANY,0,0,3266,209013
GH,GHANA,0,0,64350,1959921
HK,HONG KONG,375,34159,144119,9526562
IN,INDIA,176625,16249863,1726015,146047388
ID,INDONESIA,20000,1768970,667448,54304060
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,100,10565
IT,ITALY,1405,18061,1405,18061
JP,JAPAN,77465,1898942,1307160,32454121
KR,"KOREA,REPUBLIC OF",18400,1780368,70450,7246167
KW,KUWAIT,0,0,0,1210
LA,LAO PDR,14000,602000,159010,7504702
LR,LIBERIA,0,0,656000,21541829
MY,MALAYSIA,109750,4633767,793094,48087762
ML,MALI,0,0,16000,555605
MM,MYANMAR,0,0,24500,1193207
nan,NAMIBIA,0,0,24000,675196
NL,NETHERLANDS,0,0,160800,4640504
PK,PAKISTAN,0,0,30325,3073727
PH,PHILIPPINES,25168,2509544,152744,14257410
SG,SINGAPORE,0,0,59730,3585113
ZA,SOUTH AFRICA,13748,1784110,89748,6649701
LK,SRI LANKA,0,0,73110,2512585
TW,"TAIWAN, PROVINCE OF CHINA",3000,322818,321786,35718141
TZ,TANZANIA UNITED REPUBLIC OF,0,0,16200,472327
TR,TÜRKIYE,0,0,850,135561
UG,UGANDA,0,0,46,22894
AE,UNITED ARAB EMIRATES,0,0,1100,181148
GB,UNITED KINGDOM,0,0,2,244
US,UNITED STATES,0,0,46775,4026375
UY,URUGUAY,0,0,16000,1531445
VN,VIETNAM,368,39830,31785,3242749
SUM,SUM,648897,54570501,9849956,715279012
