"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'FOB (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'FOB (Baht)')"
AU,AUSTRALIA,898695,36853669,898695,36853669
BD,BANGLADESH,972050,40459537,972050,40459537
CN,CHINA,4761711,195768137,4761711,195768137
CD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",24000,1047996,24000,1047996
EC,ECUADOR,51000,2248875,51000,2248875
IN,INDIA,1179500,47730791,1179500,47730791
ID,INDONESIA,1641825,73211070,1641825,73211070
IL,ISRAEL,113000,4979636,113000,4979636
JP,JAPAN,484250,22776676,484250,22776676
LA,LAO PDR,30000,1235303,30000,1235303
MY,MALAYSIA,537295,8116894,537295,8116894
MM,MYANMAR,126000,5113109,126000,5113109
NZ,NEW ZEALAND,17750,754679,17750,754679
NG,NIGERIA,34000,1402095,34000,1402095
OM,OMAN,51000,2064966,51000,2064966
PK,PAKISTAN,447675,19330339,447675,19330339
PH,PHILIPPINES,802000,32900141,802000,32900141
SG,SINGAPORE,34550,1337871,34550,1337871
ZA,SOUTH AFRICA,22675,1230229,22675,1230229
LK,SRI LANKA,68000,2843230,68000,2843230
TZ,TANZANIA UNITED REPUBLIC OF,57000,2375685,57000,2375685
TR,TÜRKIYE,1250,74255,1250,74255
VN,VIETNAM,1409300,58247214,1409300,58247214
ZM,ZAMBIA,34000,1451126,34000,1451126
SUM,SUM,13798526,563553523,13798526,563553523
