"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2021', 'Quantity')","('Jun 2021', 'FOB (Baht)')","('Jan - Jun 2021', 'Quantity')","('Jan - Jun 2021', 'FOB (Baht)')"
AO,ANGOLA,0,0,49500,2601630
AU,AUSTRALIA,1008610,46159960,4168590,181030599
BD,BANGLADESH,148500,6484092,300575,14867488
BE,BELGIUM,0,0,342000,13516391
BR,BRAZIL,250000,9941085,250000,9941085
KH,CAMBODIA,0,0,24750,1211810
CN,CHINA,28639464,1594654043,175412420,8410115685
CO,COLOMBIA,175000,6959320,425000,17171816
DJ,DJIBOUTI,0,0,49500,1504905
EC,ECUADOR,150000,6291431,225000,9686358
EG,EGYPT,0,0,25,2050
FJ,FIJI,0,0,16500,844081
GH,GHANA,0,0,145500,5174234
HK,HONG KONG,33550,1616361,125500,6702109
IN,INDIA,3012750,146602454,11520875,536012103
ID,INDONESIA,3989510,186405437,35023005,1474689747
IT,ITALY,0,0,100,2653
JP,JAPAN,5989400,275014514,35836535,1539175094
KZ,KAZAKHSTAN,34000,1397819,34000,1397819
KR,"KOREA,REPUBLIC OF",453400,30130937,2939675,167787902
MY,MALAYSIA,646300,34377594,6335380,277150751
MU,MAURITIUS,0,0,72500,2684056
MM,MYANMAR,1000,42102,16000,548589
NZ,NEW ZEALAND,443200,20704972,1771720,84326333
PK,PAKISTAN,101250,4098113,357650,15739009
PE,PERU,0,0,250000,9144671
PH,PHILIPPINES,837600,35412334,5710275,233808615
PT,PORTUGAL,77500,3137929,1154500,42758380
RE,REUNION,0,0,28250,1290416
RU,RUSSIAN FEDERATION,0,0,90000,3966915
SG,SINGAPORE,322050,15047671,2066850,110946769
ZA,SOUTH AFRICA,0,0,33000,1342034
ES,SPAIN,66000,2484617,132000,5094339
LK,SRI LANKA,0,0,3750,220043
CH,SWITZERLAND,0,0,225,15377
TW,"TAIWAN, PROVINCE OF CHINA",723350,37572961,4945851,229267074
TR,TÜRKIYE,0,0,504500,19244460
UA,UKRAINE,6000,290137,21500,934390
US,UNITED STATES,22000,1363310,325750,22484167
VN,VIETNAM,1518850,86978640,8621950,431018992
SUM,SUM,48649284,2553167833,299330701,13885420939
