"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
CN,CHINA,31050,2867576,165300,14616059
IN,INDIA,145725,12292007,937605,79648835
ID,INDONESIA,17000,1419608,65800,6924014
JP,JAPAN,6375,286385,7825,355701
MY,MALAYSIA,0,0,8004,721611
PH,PHILIPPINES,21910,1911762,390285,30494669
SG,SINGAPORE,0,0,200,19334
US,UNITED STATES,0,0,400,29619
VN,VIETNAM,0,0,700,22403
SUM,SUM,222060,18777338,1576119,132832245
