"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
AU,AUSTRALIA,112850,8896362,2563715,195865037
AT,AUSTRIA,0,0,685,241073
BD,BANGLADESH,39600,2742484,1643900,103396347
BE,BELGIUM,22500,1616840,1173650,77164865
KH,CAMBODIA,19800,1402322,85300,4806992
CL,CHILE,0,0,50,884
CN,CHINA,10885813,711922897,126302223,8023836499
CO,COLOMBIA,0,0,200,21612
EG,EGYPT,0,0,36000,2743255
ET,ETHIOPIA,0,0,472000,14301666
FJ,FIJI,0,0,25625,1183608
GA,GABON,0,0,50000,1565806
DE,GERMANY,0,0,218250,14632502
GW,GUINEA-BISSAU,0,0,16200,549648
HK,HONG KONG,113870,8380553,1864968,119647776
IN,INDIA,1021908,68477191,16132133,870367086
ID,INDONESIA,402175,28358611,4216538,289692482
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,750,93978
IQ,IRAQ,0,0,92,314678
IE,IRELAND,0,0,875,179801
IT,ITALY,0,0,3565,214713
JP,JAPAN,2597145,161243494,31335157,1872711431
KE,KENYA,0,0,45000,1505251
KR,"KOREA,REPUBLIC OF",1110345,83272275,17596008,1263900381
LA,LAO PDR,3000,167842,171000,4471117
MG,MADAGASCAR,0,0,32000,1123164
MY,MALAYSIA,130350,9909980,1744678,128286674
MV,MALDIVES,0,0,16500,545250
MU,MAURITIUS,0,0,68500,1830828
MM,MYANMAR,250590,9606246,252140,9646246
NZ,NEW ZEALAND,97400,7718833,564905,43405610
PK,PAKISTAN,500,94408,138760,8944189
PH,PHILIPPINES,355300,14055063,5803125,259149608
PL,POLAND,0,0,675,35880
SA,SAUDI ARABIA,0,0,1355,87504
SG,SINGAPORE,333050,22954385,2449464,174216045
ZA,SOUTH AFRICA,13975,2062841,14949,2272821
ES,SPAIN,0,0,2650,28520
LK,SRI LANKA,19800,1416898,269275,13880539
TW,"TAIWAN, PROVINCE OF CHINA",499070,33705457,4711980,305366079
TZ,TANZANIA UNITED REPUBLIC OF,0,0,357000,11958592
TG,TOGO,0,0,32000,1203987
AE,UNITED ARAB EMIRATES,0,0,1000,175385
GB,UNITED KINGDOM,0,0,0,1054
US,UNITED STATES,47,2671,298273,23659198
VN,VIETNAM,1119010,76729920,6950393,505169873
SUM,SUM,19148098,1254737573,227663506,14354395534
