"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
AU,AUSTRALIA,30000,922388,30000,922388
CN,CHINA,680000,28298266,680000,28298266
ID,INDONESIA,991850,47504255,991850,47504255
JP,JAPAN,25,8377,25,8377
LA,LAO PDR,30000,1219141,30000,1219141
MY,MALAYSIA,15000,1036046,15000,1036046
MM,MYANMAR,170000,7757836,170000,7757836
ZA,SOUTH AFRICA,700,68439,700,68439
TW,"TAIWAN, PROVINCE OF CHINA",500,62204,500,62204
VN,VIETNAM,14000,749306,14000,749306
SUM,SUM,1932075,87626258,1932075,87626258
