"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
DZ,ALGERIA,24750,1164600,24750,1164600
AU,AUSTRALIA,342280,15703871,342280,15703871
BD,BANGLADESH,154250,7318307,154250,7318307
BR,BRAZIL,29000,1361017,29000,1361017
BN,BRUNEI DARUSSALAM,5000,232819,5000,232819
KH,CAMBODIA,218500,10167221,218500,10167221
CN,CHINA,6042750,292748653,6042750,292748653
DJ,DJIBOUTI,90000,3914082,90000,3914082
FJ,FIJI,36000,1604133,36000,1604133
HK,HONG KONG,531045,25231756,531045,25231756
IN,INDIA,717250,35037680,717250,35037680
ID,INDONESIA,1524000,74316227,1524000,74316227
JP,JAPAN,786282,34899641,786282,34899641
KZ,KAZAKHSTAN,34000,1551374,34000,1551374
KR,"KOREA,REPUBLIC OF",424875,19473243,424875,19473243
LA,LAO PDR,400200,18828456,400200,18828456
MY,MALAYSIA,423090,20581122,423090,20581122
MZ,MOZAMBIQUE,152500,6202857,152500,6202857
MM,MYANMAR,288000,12590657,288000,12590657
NC,NEW CALEDONIA,18000,808480,18000,808480
NZ,NEW ZEALAND,144500,6558405,144500,6558405
PG,PAPUA NEW GUINEA,18000,802066,18000,802066
PH,PHILIPPINES,455500,21594103,455500,21594103
PL,POLAND,54000,2279250,54000,2279250
PT,PORTUGAL,475000,20069484,475000,20069484
SG,SINGAPORE,26175,1521705,26175,1521705
ZA,SOUTH AFRICA,120500,5890463,120500,5890463
LK,SRI LANKA,17250,873309,17250,873309
TW,"TAIWAN, PROVINCE OF CHINA",1077388,52828950,1077388,52828950
AE,UNITED ARAB EMIRATES,141000,6183397,141000,6183397
VN,VIETNAM,3417082,160183956,3417082,160183956
SUM,SUM,18188167,862521284,18188167,862521284
