"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
AU,AUSTRALIA,812700,36405313,812700,36405313
BD,BANGLADESH,164000,8272315,164000,8272315
BR,BRAZIL,87500,3863286,87500,3863286
BN,BRUNEI DARUSSALAM,2000,86849,2000,86849
KH,CAMBODIA,450000,23462589,450000,23462589
CM,CAMEROON,108000,4552529,108000,4552529
CA,CANADA,68000,3628584,68000,3628584
CN,CHINA,11416905,524169979,11416905,524169979
CI,COTE D IVOIRE,36000,1520718,36000,1520718
DJ,DJIBOUTI,54000,2322783,54000,2322783
SV,EL SALVADOR,200,13402,200,13402
FJ,FIJI,18000,779608,18000,779608
DE,GERMANY,100004,4717833,100004,4717833
GH,GHANA,612000,25581104,612000,25581104
IN,INDIA,401200,19057634,401200,19057634
ID,INDONESIA,1973000,87357416,1973000,87357416
IL,ISRAEL,414850,21731684,414850,21731684
JP,JAPAN,1648275,71541482,1648275,71541482
KZ,KAZAKHSTAN,70000,3040722,70000,3040722
KE,KENYA,28400,1607412,28400,1607412
KR,"KOREA,REPUBLIC OF",23000,2771700,23000,2771700
LA,LAO PDR,83475,4241836,83475,4241836
MY,MALAYSIA,1126750,49987127,1126750,49987127
MU,MAURITIUS,67000,3765345,67000,3765345
MX,MEXICO,200,14436,200,14436
MZ,MOZAMBIQUE,17000,781747,17000,781747
MM,MYANMAR,230200,9872983,230200,9872983
NL,NETHERLANDS,22000,1061206,22000,1061206
NC,NEW CALEDONIA,18000,782816,18000,782816
NZ,NEW ZEALAND,354500,17346261,354500,17346261
NG,NIGERIA,869000,18291745,869000,18291745
PK,PAKISTAN,162000,7010060,162000,7010060
PH,PHILIPPINES,43000,2205994,43000,2205994
PL,POLAND,87500,3977786,87500,3977786
RE,REUNION,12000,635803,12000,635803
SN,SENEGAL,27700,1514942,27700,1514942
SG,SINGAPORE,22000,972496,22000,972496
ZA,SOUTH AFRICA,125400,6138980,125400,6138980
LK,SRI LANKA,150000,6828642,150000,6828642
SD,SUDAN,14200,784955,14200,784955
TW,"TAIWAN, PROVINCE OF CHINA",95750,4480667,95750,4480667
TZ,TANZANIA UNITED REPUBLIC OF,28400,1627660,28400,1627660
TG,TOGO,252000,10510278,252000,10510278
TR,TÜRKIYE,100400,5239375,100400,5239375
AE,UNITED ARAB EMIRATES,298300,13137804,298300,13137804
VN,VIETNAM,848800,41106734,848800,41106734
SUM,SUM,23543609,1058802620,23543609,1058802620
