"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'FOB (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'FOB (Baht)')"
BD,BANGLADESH,102000,4710845,731000,34625991
BE,BELGIUM,0,0,300,1018966
CN,CHINA,8804625,432491397,32520558,1571974002
IN,INDIA,1057000,51484594,3858500,182888327
ID,INDONESIA,138000,6683906,449394,21860375
JP,JAPAN,0,0,12000,712380
LA,LAO PDR,0,0,18,41810
MY,MALAYSIA,17000,823942,41590,2547200
PK,PAKISTAN,16000,793152,66000,3213811
PH,PHILIPPINES,2250,157161,14750,1122439
SG,SINGAPORE,220,8756,15220,766165
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,58364
AE,UNITED ARAB EMIRATES,0,0,150,75416
US,UNITED STATES,34000,1675846,83000,4095159
VN,VIETNAM,27000,1329932,205195,9902467
SUM,SUM,10198095,500159531,38015675,1835692609
