"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,6000,640913
CN,CHINA,0,0,16550,8068599
HK,HONG KONG,4400,261414,13750,978959
IN,INDIA,4100,602368,23600,3021627
ID,INDONESIA,1600,380276,50250,5986265
JP,JAPAN,0,0,181500,10250304
KR,"KOREA,REPUBLIC OF",23000,2273416,139000,15406661
LA,LAO PDR,10500,466000,21500,910000
MY,MALAYSIA,0,0,100,4403
PK,PAKISTAN,3650,342515,28550,1951995
PH,PHILIPPINES,28000,1716929,180475,10759730
SG,SINGAPORE,0,0,11500,1439979
US,UNITED STATES,0,0,19600,1127946
VN,VIETNAM,80000,4717512,414000,23177059
SUM,SUM,155250,10760430,1106375,83724440
