"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'FOB (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'FOB (Baht)')"
BD,BANGLADESH,0,0,7200,397144
HK,HONG KONG,300,24755,4248,289434
IN,INDIA,8000,532919,29400,1844150
ID,INDONESIA,231975,10444072,2838450,122304906
JP,JAPAN,0,0,15060,953046
KR,"KOREA,REPUBLIC OF",0,0,50,6625
MY,MALAYSIA,0,0,100800,7688932
PK,PAKISTAN,0,0,4000,256574
TW,"TAIWAN, PROVINCE OF CHINA",225,1728,428,3195
US,UNITED STATES,0,0,2010,272787
VN,VIETNAM,0,0,200,17125
SUM,SUM,240500,11003474,3001846,134033918
