"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
CM,CAMEROON,16250,403407,16250,403407
CN,CHINA,1650,97237,5125,278597
GH,GHANA,65000,1613633,162500,3927543
HK,HONG KONG,0,0,26325,4315502
IN,INDIA,0,0,500,62217
ID,INDONESIA,36100,1938931,135125,7527008
JP,JAPAN,0,0,15300,1029188
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,0,0,46,12400
MY,MALAYSIA,475,25474,1475,89778
PK,PAKISTAN,0,0,220,62104
LK,SRI LANKA,32000,777738,64000,1588414
TW,"TAIWAN, PROVINCE OF CHINA",600,75621,600,75621
VN,VIETNAM,110500,4840223,469500,22142054
SUM,SUM,262575,9772264,898736,41769146
