"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
AU,AUSTRALIA,5850,493338,23850,1856522
CN,CHINA,3300,252818,11060,904049
ET,ETHIOPIA,0,0,32000,884457
HK,HONG KONG,0,0,2060,124562
IN,INDIA,5450,632603,65350,3818814
ID,INDONESIA,460,51197,1400,157995
JP,JAPAN,0,0,20409,1692336
KR,"KOREA,REPUBLIC OF",160,20110,20420,1247024
MY,MALAYSIA,8325,519954,8365,531474
NZ,NEW ZEALAND,0,0,750,93239
PH,PHILIPPINES,0,0,178750,7510138
LK,SRI LANKA,2200,178994,2200,178994
TW,"TAIWAN, PROVINCE OF CHINA",0,0,24000,611609
US,UNITED STATES,0,0,0,31
VN,VIETNAM,0,0,500,33609
SUM,SUM,25745,2149014,391114,19644853
