"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
AO,ANGOLA,66000,3053987,66000,3053987
AR,ARGENTINA,11000,1004331,11000,1004331
AU,AUSTRALIA,225750,13172464,225750,13172464
BD,BANGLADESH,409750,19967803,409750,19967803
CN,CHINA,4126750,188629670,4126750,188629670
EG,EGYPT,32000,2359598,32000,2359598
GT,GUATEMALA,204000,9456841,204000,9456841
GN,GUINEA,340000,14782370,340000,14782370
HK,HONG KONG,4500,313380,4500,313380
IN,INDIA,735750,34089019,735750,34089019
ID,INDONESIA,368900,19031858,368900,19031858
JP,JAPAN,8587575,388692657,8587575,388692657
LR,LIBERIA,34500,1502600,34500,1502600
MY,MALAYSIA,300000,15591488,300000,15591488
MU,MAURITIUS,49500,2263316,49500,2263316
MX,MEXICO,100,6211,100,6211
MZ,MOZAMBIQUE,100000,4464367,100000,4464367
MM,MYANMAR,50,2212,50,2212
nan,NAMIBIA,26000,722659,26000,722659
NZ,NEW ZEALAND,93500,4318222,93500,4318222
NG,NIGERIA,220500,9846403,220500,9846403
PK,PAKISTAN,828175,42086457,828175,42086457
PH,PHILIPPINES,855075,38560976,855075,38560976
ZA,SOUTH AFRICA,348300,22939889,348300,22939889
LK,SRI LANKA,16000,426701,16000,426701
TW,"TAIWAN, PROVINCE OF CHINA",15000,1160426,15000,1160426
TR,TÜRKIYE,226000,10469697,226000,10469697
UA,UKRAINE,102000,4466387,102000,4466387
US,UNITED STATES,10000,450303,10000,450303
VN,VIETNAM,1044475,49127706,1044475,49127706
SUM,SUM,19381150,902959998,19381150,902959998
