"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'FOB (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1592295,52000,6047621
BD,BANGLADESH,3050,528699,6700,880482
BE,BELGIUM,107,3444,107,3444
BR,BRAZIL,0,0,14225,1420686
CN,CHINA,232075,19860752,1240275,90052897
CI,COTE D IVOIRE,0,0,32500,975644
EG,EGYPT,100,21089,225,47654
GH,GHANA,0,0,32500,986024
HK,HONG KONG,6000,602342,6000,602342
IN,INDIA,721900,60806621,1166202,100251773
ID,INDONESIA,5310,897524,24024,3859281
JP,JAPAN,154640,13820512,168454,15496857
KE,KENYA,0,0,16250,604337
KR,"KOREA,REPUBLIC OF",1725,41631,40725,4194059
LA,LAO PDR,40,3267,170,16335
MY,MALAYSIA,120,7738,64480,3353537
MM,MYANMAR,0,0,38125,1835475
PH,PHILIPPINES,504,139454,504,139454
SG,SINGAPORE,24750,1416827,74250,4205355
ZA,SOUTH AFRICA,0,0,17000,545844
LK,SRI LANKA,2050,279912,2675,428321
TW,"TAIWAN, PROVINCE OF CHINA",12654,985896,120039,9552828
VN,VIETNAM,300,20316,3515,269710
SUM,SUM,1180325,101028319,3120945,245769960
