"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'FOB (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'FOB (Baht)')"
AU,AUSTRALIA,7000,518033,90880,9091105
BD,BANGLADESH,0,0,12000,1499213
CN,CHINA,294100,12533850,736005,43801709
GH,GHANA,16500,371250,16500,371250
IN,INDIA,87875,6763120,335000,35602162
ID,INDONESIA,25500,2177362,123775,11411246
JP,JAPAN,0,0,160,22197
KR,"KOREA,REPUBLIC OF",750,93795,879,106798
LA,LAO PDR,0,0,7000,380662
MY,MALAYSIA,17100,1643148,88200,7854919
MM,MYANMAR,0,0,20400,690617
NZ,NEW ZEALAND,12000,1407180,23460,2818868
PK,PAKISTAN,0,0,8750,625551
PH,PHILIPPINES,0,0,9200,890265
SG,SINGAPORE,500,43432,1040,120872
LK,SRI LANKA,0,0,2750,203609
TW,"TAIWAN, PROVINCE OF CHINA",13000,1592724,25625,1885859
VN,VIETNAM,5300,659737,23525,3208924
SUM,SUM,479625,27803631,1525149,120585826
