"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AU,AUSTRALIA,37800,5689532,177000,24729750
CN,CHINA,648354,25166863,10386966,148624794
IN,INDIA,0,0,34000,1457182
ID,INDONESIA,0,0,9034,658075
JP,JAPAN,153000,6829592,974625,41118078
KR,"KOREA,REPUBLIC OF",3275,247591,33575,2383171
MY,MALAYSIA,1000,131930,1900,229660
TW,"TAIWAN, PROVINCE OF CHINA",0,0,80,14261
TR,TÜRKIYE,1025,123233,34550,2459780
VN,VIETNAM,0,0,150650,11611470
SUM,SUM,844454,38188741,11802380,233286221
