"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
AU,AUSTRALIA,441940,21656587,5517590,299079617
BD,BANGLADESH,25000,1212636,1347500,67905273
BE,BELGIUM,0,0,1179000,76581529
KH,CAMBODIA,0,0,34300,2236754
CN,CHINA,32325292,2476500806,410877369,28585290729
FJ,FIJI,0,0,75000,3767919
FR,FRANCE,0,0,99000,5194639
HK,HONG KONG,0,0,181300,18507373
IN,INDIA,1123510,96680690,21181370,1455084318
ID,INDONESIA,4704790,214433425,61101745,3040335986
IR,IRAN (ISLAMIC REPUBLIC OF),173250,8947006,371250,20716402
JP,JAPAN,3009725,200873203,63023250,3673071962
KZ,KAZAKHSTAN,31000,1346228,141000,6827668
KR,"KOREA,REPUBLIC OF",498300,48880238,5595600,476230265
MY,MALAYSIA,762875,41478552,9896770,520744415
MM,MYANMAR,130000,5856443,2306450,106625678
NZ,NEW ZEALAND,220720,11216121,2563220,141519662
PK,PAKISTAN,22500,2446580,717150,44836904
PH,PHILIPPINES,1572800,65640371,11350975,539447179
PT,PORTUGAL,0,0,492000,25973162
RE,REUNION,0,0,4500,234755
RU,RUSSIAN FEDERATION,97000,4063893,673500,33615109
SG,SINGAPORE,100500,4625723,1876625,142483126
ZA,SOUTH AFRICA,0,0,33000,1527578
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,51000,2183456,500775,23889306
TW,"TAIWAN, PROVINCE OF CHINA",508300,26478466,6823400,374164082
TR,TÜRKIYE,0,0,1449500,60919567
AE,UNITED ARAB EMIRATES,0,0,1000,48897
US,UNITED STATES,22758,2731197,403573,41490189
VN,VIETNAM,883700,59530822,13724740,890964214
SUM,SUM,46704960,3296782443,623542502,40679316458
