"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'FOB (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,27000,673278
KH,CAMBODIA,74000,3627662,533975,26862226
CN,CHINA,0,0,140000,11767076
HK,HONG KONG,503,164,663,22025
IN,INDIA,0,0,152000,5024649
ID,INDONESIA,0,0,110550,6922276
JP,JAPAN,0,0,66401,3669866
LA,LAO PDR,0,0,2395,48000
MY,MALAYSIA,0,0,91391,5654749
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,0,0,36000,1216383
PK,PAKISTAN,0,0,15000,653657
PH,PHILIPPINES,0,0,1004,79260
SE,SWEDEN,0,0,26000,1341239
TW,"TAIWAN, PROVINCE OF CHINA",0,0,300,192585
US,UNITED STATES,0,0,1600,82789
SUM,SUM,74503,3627826,1253779,65947437
