"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'FOB (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'FOB (Baht)')"
BD,BANGLADESH,32500,704042,32500,704042
BN,BRUNEI DARUSSALAM,10000,386889,10000,386889
CN,CHINA,0,0,0,603
IN,INDIA,16000,782400,48000,2306808
JP,JAPAN,126,8210,268,19918
MY,MALAYSIA,0,0,25000,664252
PG,PAPUA NEW GUINEA,0,0,12,4008
ES,SPAIN,16,418,16,418
TR,TÜRKIYE,13200,972228,42600,3136901
GB,UNITED KINGDOM,20,619,20,619
US,UNITED STATES,0,0,4625,352214
VN,VIETNAM,0,0,76000,2995480
SUM,SUM,71862,2854806,239041,10572152
