"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'FOB (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,27000,673278
KH,CAMBODIA,105000,5385354,314975,15913200
CN,CHINA,0,0,20000,1625528
IN,INDIA,32000,948590,49500,1487832
ID,INDONESIA,17000,1049958,76050,4631912
JP,JAPAN,1700,101332,64850,3491213
MY,MALAYSIA,0,0,20018,1084596
MM,MYANMAR,0,0,49500,1737379
NZ,NEW ZEALAND,24000,797469,36000,1216383
PK,PAKISTAN,0,0,15000,653657
US,UNITED STATES,0,0,1600,82789
SUM,SUM,179700,8282703,674493,32597767
