"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AR,ARGENTINA,58500,4198867,116250,8356794
AU,AUSTRALIA,23260,1788330,136445,11003478
BD,BANGLADESH,0,0,17500,677922
KH,CAMBODIA,0,0,26040,1574124
CN,CHINA,5333853,114722776,30582731,492468396
FJ,FIJI,0,0,15000,935495
DE,GERMANY,138600,16423092,403450,44333055
HK,HONG KONG,0,0,150,27612
IN,INDIA,623925,28428124,2347950,93049763
ID,INDONESIA,211525,10000684,658302,30788800
IT,ITALY,0,0,10,328
JP,JAPAN,52301,2753186,224570,14866246
KE,KENYA,25000,845697,25000,845697
KR,"KOREA,REPUBLIC OF",246283,1309844,1346869,7129315
LA,LAO PDR,9000,553500,36221,2871759
MY,MALAYSIA,41625,4616682,243556,25197945
MU,MAURITIUS,0,0,1000,165503
MM,MYANMAR,0,0,20000,1123664
NP,NEPAL,0,0,10000,1495462
NZ,NEW ZEALAND,2300,266708,3325,375339
PH,PHILIPPINES,0,0,18000,2066041
SG,SINGAPORE,18000,2494839,52519,6642307
SI,SLOVENIA,207670,8379371,713970,25433860
ZA,SOUTH AFRICA,48000,1462974,112000,3314015
TW,"TAIWAN, PROVINCE OF CHINA",106350,4610486,434475,20287502
TR,TÜRKIYE,0,0,20002,3023190
AE,UNITED ARAB EMIRATES,24200,2028892,51475,4905492
US,UNITED STATES,5,440,142206,5156369
VN,VIETNAM,42293,4658391,288093,25798202
SUM,SUM,7212690,209542883,38047109,833913675
