"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2015', 'Quantity')","('Oct 2015', 'FOB (Baht)')","('Jan - Oct 2015', 'Quantity')","('Jan - Oct 2015', 'FOB (Baht)')"
AR,ARGENTINA,90000,7942252,933950,78822535
AU,AUSTRALIA,15000,1401729,166064,16188044
BD,BANGLADESH,0,0,23920,2379438
BE,BELGIUM,0,0,104,2641
BR,BRAZIL,0,0,10000,1276640
CN,CHINA,108469,7616245,1926894,117427075
EG,EGYPT,201000,14859452,723000,49827528
GH,GHANA,0,0,418750,11736368
HK,HONG KONG,0,0,10203,809723
IN,INDIA,252467,25287625,2036704,190739755
ID,INDONESIA,328400,27584838,1778585,151229421
JP,JAPAN,1155,114774,360467,12067388
KE,KENYA,15000,566197,161750,5376180
KR,"KOREA,REPUBLIC OF",12000,1008378,49101,3681371
LA,LAO PDR,500,11000,1539,52078
LU,LUXEMBOURG,0,0,137,4843
MG,MADAGASCAR,0,0,512000,6831554
MY,MALAYSIA,93726,6218766,883699,69749832
MV,MALDIVES,0,0,6,5000
MZ,MOZAMBIQUE,59000,1773657,91500,2674082
MM,MYANMAR,2000,173200,8520,741100
NZ,NEW ZEALAND,50,27597,50,27597
NG,NIGERIA,0,0,16250,454110
PK,PAKISTAN,14000,1067761,48000,2484226
PH,PHILIPPINES,15746,2312304,85879,11012568
PT,PORTUGAL,0,0,175,52757
SA,SAUDI ARABIA,0,0,144000,11274054
SN,SENEGAL,0,0,64000,2274543
SG,SINGAPORE,24750,1164871,225600,11476598
ZA,SOUTH AFRICA,0,0,156958,10588972
LK,SRI LANKA,16050,457431,170625,5130627
TW,"TAIWAN, PROVINCE OF CHINA",52600,6478713,397509,43595374
TZ,TANZANIA UNITED REPUBLIC OF,0,0,16000,407152
TR,TÜRKIYE,0,0,250,92404
AE,UNITED ARAB EMIRATES,90000,2595961,378000,9889524
US,UNITED STATES,18000,1545468,105489,8275117
VN,VIETNAM,120007,6734875,746424,46192766
SUM,SUM,1529920,116943094,12652102,884850985
