"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,38,27000
BD,BANGLADESH,41250,943650,106250,2662131
BN,BRUNEI DARUSSALAM,0,0,30000,1506546
CN,CHINA,0,0,54000,397465
IT,ITALY,0,0,150,10420
JP,JAPAN,0,0,528,145701
MX,MEXICO,0,0,24000,2166576
PG,PAPUA NEW GUINEA,0,0,19,6573
TR,TÜRKIYE,0,0,30000,2516004
US,UNITED STATES,6000,531017,94800,9120115
VN,VIETNAM,0,0,361950,23216204
SUM,SUM,47250,1474667,701735,41774735
