"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'FOB (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,6000,640913
CN,CHINA,16000,657146,96050,11586291
HK,HONG KONG,96000,3942876,277750,11895222
IN,INDIA,2000,287326,30600,4049199
ID,INDONESIA,55500,2117584,185150,11445747
JP,JAPAN,0,0,181800,10326271
KR,"KOREA,REPUBLIC OF",28000,3255910,205000,23723947
LA,LAO PDR,10000,488000,31500,1398000
MY,MALAYSIA,0,0,200,18510
PK,PAKISTAN,3500,440371,103200,8770832
PH,PHILIPPINES,0,0,226200,13707683
SG,SINGAPORE,0,0,22500,3075319
TW,"TAIWAN, PROVINCE OF CHINA",0,0,3000,364109
US,UNITED STATES,0,0,19600,1127946
VN,VIETNAM,60000,3743143,626325,36005243
SUM,SUM,271000,14932356,2014875,138135232
