"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'FOB (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'FOB (Baht)')"
AU,AUSTRALIA,11000,1007807,66000,6053762
CN,CHINA,41600,3886218,635973,28165949
CI,COTE D IVOIRE,0,0,178500,6565569
HK,HONG KONG,24000,1058564,160000,6433073
IN,INDIA,0,0,200,19597
ID,INDONESIA,58400,2374340,336400,14980231
JP,JAPAN,15000,761036,46600,2401019
KR,"KOREA,REPUBLIC OF",2000,208869,5000,523825
MX,MEXICO,15000,676882,75000,3403787
PK,PAKISTAN,0,0,375,61368
TW,"TAIWAN, PROVINCE OF CHINA",200,32000,200,32000
VN,VIETNAM,34500,1330448,232700,9547137
SUM,SUM,201700,11336164,1736948,78187317
