"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
AU,AUSTRALIA,202200,15352022,399200,29896977
BD,BANGLADESH,39600,2530748,297000,18505143
CN,CHINA,9411560,564117491,16449652,993840415
FJ,FIJI,10750,579495,10750,579495
GA,GABON,17000,526858,17000,526858
DE,GERMANY,50,163,150,6618
HK,HONG KONG,176400,9239836,315000,18163937
IN,INDIA,1105700,55599943,2044400,104244585
ID,INDONESIA,189900,11866719,530450,34262646
JP,JAPAN,2505356,151758147,5490201,331053239
KR,"KOREA,REPUBLIC OF",1664275,109223324,3106875,201353170
LA,LAO PDR,33500,1308000,136377,3966175
MY,MALAYSIA,137750,8611312,281800,17846682
MM,MYANMAR,0,0,200,10808
NZ,NEW ZEALAND,22500,1801548,63000,4998256
PK,PAKISTAN,1375,96979,21175,1259811
PH,PHILIPPINES,290400,16028557,1051400,56471712
SG,SINGAPORE,9050,542041,167472,10727874
TW,"TAIWAN, PROVINCE OF CHINA",326100,20607004,737500,44909677
TZ,TANZANIA UNITED REPUBLIC OF,17000,568452,17000,568452
AE,UNITED ARAB EMIRATES,0,0,38,128
US,UNITED STATES,1306800,81950982,1306800,81950982
VN,VIETNAM,248101,17590321,539861,37286360
SUM,SUM,17715367,1069899942,32983301,1992430000
