"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
AU,AUSTRALIA,64560,3585683,3927876,199365812
BD,BANGLADESH,0,0,269350,12876728
BE,BELGIUM,0,0,237600,14980116
BT,BHUTAN,0,0,313500,14804658
KH,CAMBODIA,0,0,3000,146661
CN,CHINA,2518501,101583421,90281399,4560869029
DJ,DJIBOUTI,0,0,100,16041
FJ,FIJI,0,0,15000,657111
DE,GERMANY,1500,44458,1500,44458
GH,GHANA,0,0,17000,542040
HK,HONG KONG,25600,135279,340937,16733844
IN,INDIA,526575,12992518,16054091,712949847
ID,INDONESIA,100775,6040415,17146290,832644293
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,72000,5343738
IE,IRELAND,0,0,750,70703
JP,JAPAN,264414,11789129,20112777,1078038832
KE,KENYA,0,0,33000,1023638
KR,"KOREA,REPUBLIC OF",1960,198313,3015905,191470953
LA,LAO PDR,0,0,500,209071
MY,MALAYSIA,19000,1591538,3611085,192421250
MZ,MOZAMBIQUE,0,0,300,21017
MM,MYANMAR,151500,5267373,2377075,39472718
NP,NEPAL,0,0,53350,2910755
NL,NETHERLANDS,2,1537,3,3078
NZ,NEW ZEALAND,16400,1049624,1917665,96017331
PK,PAKISTAN,50750,2415695,253850,12511405
PG,PAPUA NEW GUINEA,0,0,125,21724
PH,PHILIPPINES,0,0,2303250,106337194
RU,RUSSIAN FEDERATION,0,0,50,7416
SA,SAUDI ARABIA,0,0,19200,1790925
SG,SINGAPORE,25,685,487136,32897474
ZA,SOUTH AFRICA,0,0,500,78084
LK,SRI LANKA,0,0,354375,17193112
CH,SWITZERLAND,0,0,50,1695
TW,"TAIWAN, PROVINCE OF CHINA",144000,6185168,3229875,161211091
TR,TÜRKIYE,0,0,11000,2055261
AE,UNITED ARAB EMIRATES,0,0,3000,481239
GB,UNITED KINGDOM,0,0,5025,3444
US,UNITED STATES,266,10972,40115,2451154
VN,VIETNAM,39048,5058050,3259843,217795116
SUM,SUM,3924876,157949858,169769447,8528470056
