"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
KH,CAMBODIA,5125,71750,9150,128100
CN,CHINA,500,27072,495500,20581653
HK,HONG KONG,0,0,1,97
IN,INDIA,414,264996,1034,673216
ID,INDONESIA,2000,91632,2000,91632
JP,JAPAN,100,4674,100,4739
KR,"KOREA,REPUBLIC OF",1320,18004,1320,18004
MY,MALAYSIA,53910,2558490,76002,3749579
PH,PHILIPPINES,12029,602647,12029,602647
LK,SRI LANKA,2000,81486,2000,81486
SUM,SUM,77398,3720751,599136,25931153
