"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,1000,101317,76000,5920591
IN,INDIA,0,0,1390595,103492402
ID,INDONESIA,0,0,45000,4025904
JP,JAPAN,0,0,5687,506719
MY,MALAYSIA,0,0,34500,3703302
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,9500,525583,287145,18933932
VN,VIETNAM,0,0,200,5757
SUM,SUM,10500,626900,1955156,140344218
